"id_navy_j","id_area","xcoord","ycoord","xcoord_j","ycoord_j"
2,1016,-70.165619,-20.431545,-70.1534,-20.2113
2,1024,-70.277962,-19.317413,-70.1534,-20.2113
2,1025,-70.218971,-19.615654,-70.1534,-20.2113
2,1017,-70.132248,-20.037716,-70.1534,-20.2113
2,1004,-70.208992,-19.575039,-70.1534,-20.2113
2,1015,-70.140152,-20.135679,-70.1534,-20.2113
3,2016,-70.149673,-21.649569,-70.2056,-22.094
3,2017,-70.244499,-22.282066,-70.2056,-22.094
3,2018,-70.228928,-22.168455,-70.2056,-22.094
3,2021,-70.273666,-22.551138,-70.2056,-22.094
4,2031,-70.525406,-23.036631,-70.4527,-23.0989
5,2027,-70.487579,-23.780519,-70.4025,-23.6524
5,2045,-70.597565,-23.415539,-70.4025,-23.6524
5,2044,-70.551552,-24.357,-70.4025,-23.6524
5,2008,-70.611,-23.384811,-70.4025,-23.6524
5,2023,-70.479187,-23.77392,-70.4025,-23.6524
5,2026,-70.485153,-23.7756,-70.4025,-23.6524
6,2037,-70.525848,-25.458128,-70.4875,-25.4084
6,2036,-70.52494,-25.421818,-70.4875,-25.4084
6,2034,-70.517296,-25.401215,-70.4875,-25.4084
6,2040,-70.440735,-25.224752,-70.4875,-25.4084
6,2024,-70.666069,-25.657778,-70.4875,-25.4084
6,2039,-70.442436,-25.188261,-70.4875,-25.4084
6,2042,-70.509132,-25.39747,-70.4875,-25.4084
6,2025,-70.596703,-25.506601,-70.4875,-25.4084
7,3042,-70.672409,-26.304523,-70.6375,-26.3511
7,3043,-70.719673,-26.636557,-70.6375,-26.3511
7,3029,-70.658707,-26.097088,-70.6375,-26.3511
7,3041,-70.706291,-26.60673,-70.6375,-26.3511
7,3036,-70.661766,-26.368671,-70.6375,-26.3511
7,3024,-70.696823,-26.545631,-70.6375,-26.3511
7,3014,-70.686836,-26.162237,-70.6375,-26.3511
7,3023,-70.707565,-26.529245,-70.6375,-26.3511
9,3008,-71.49984,-29.08205,-71.2263,-28.4617
9,3019,-71.29406,-28.659637,-71.2263,-28.4617
9,3007,-71.151535,-28.05414,-71.2263,-28.4617
9,3012,-71.17627,-28.373384,-71.2263,-28.4617
9,3011,-71.193123,-28.309223,-71.2263,-28.4617
9,3037,-71.493477,-29.137743,-71.2263,-28.4617
9,3006,-71.159981,-28.207361,-71.2263,-28.4617
9,3027,-71.516884,-28.985634,-71.2263,-28.4617
9,3033,-71.153137,-28.080149,-71.2263,-28.4617
10,4007,-71.310455,-29.429838,-71.3361,-29.9497
10,4027,-71.355087,-29.919495,-71.3361,-29.9497
10,4043,-71.316055,-29.458204,-71.3361,-29.9497
10,4054,-71.30735,-29.442858,-71.3361,-29.9497
